site_type,culture_type,lat,lon,pres_charred,pres_waterlogged,pres_mineralised
Urban,Roman,40.752376,14.48778107,1,0,0
"Rural site, villa",Roman,44.26492758,8.433361957,1,1,0
"Rural site, villa",Roman,44.26492758,8.433361957,1,1,0
Rural,Roman,44.17330298,8.330560129,1,0,0
Urban,Roman,44.55936193,7.85460732,1,0,0
Urban,Roman,44.55936193,7.85460732,1,0,0
Rural,Roman,46.20308183,11.1205277,1,0,0
Urban,Roman,45.7041167,9.662534464,1,0,0
Urban,Roman,43.78922985,7.625077833,1,0,1
Rural,Roman,42.8916496,11.34589342,1,0,0
Urban,Roman,45.77542746,13.36495783,1,0,0
Necropolis,Roman,45.4181677,11.8777529,1,0,0
Necropolis,Roman,45.41677743,11.87947868,1,0,0
Necropolis,Roman,45.4357171,10.97986871,1,0,0
Necropolis,Roman,45.5850029,10.28668085,1,0,0
Necropolis,Roman,45.34559803,10.12755287,1,0,0
Necropolis,Roman,45.70648741,9.65499489,1,0,0
Necropolis,Roman,45.70331871,9.172840892,1,0,0
Necropolis,Roman,45.80672804,9.079774206,1,0,0
Necropolis,Roman,44.05329375,8.213215878,1,0,0
"Rural site, villa",Roman,40.73911711,15.66990214,1,0,0
Religious,Roman,45.54030058,10.22654141,1,0,0
Urban,Roman,45.54056461,10.22838282,1,0,0
Rural,Roman,44.60800742,10.8730723,0,0,0
Urban,Roman,44.6448184,10.92823246,1,0,0
Urban,Roman,44.6448184,10.92823246,1,0,0
Urban,Roman,44.63365858,10.90721306,0,1,0
Urban,Roman,44.63365858,10.90721306,0,1,0
Urban,Roman,44.65254973,10.92921241,0,1,0
Necropolis,Roman,45.62031311,9.798266727,1,0,0
Necropolis,Roman,45.62031311,9.798266727,1,0,0
"Rural site, villa",Roman,45.61031712,9.803402572,1,0,0
Necropolis,Roman,46.78644859,11.90578502,1,0,0
Urban,Roman,44.64497708,10.92757024,0,1,0
Urban,Roman,40.75156969,14.48215028,1,0,1
Urban,Roman,40.75156969,14.48215028,1,0,1
