Type,Cons_per_e,Itinerary,Avg_Slope,Shape_Leng
Secondary Road,,Itinerarium Antonini,1.996541531,22254.47978
Secondary Road,,Itinerarium Antonini,2.262480948,45340.30675
Secondary Road,,Itinerarium Antonini,3.27909245,49434.86564
Secondary Road,,Itinerarium Antonini,7.441099469,21025.20426
Secondary Road,,Itinerarium Antonini,4.887322513,11723.78457
Secondary Road,,Itinerarium Antonini,6.087671452,185589.3271
Secondary Road,,Itinerarium Antonini,4.947412947,44011.57395
Secondary Road,,Itinerarium Antonini,7.299925173,93090.46445
Secondary Road,,Itinerarium Antonini,0.931075132,6783.254074
Secondary Road,,Itinerarium Antonini,0.98377408,14550.6539
Secondary Road,,Itinerarium Antonini,0.749299078,8423.347332
Secondary Road,,Itinerarium Antonini,5.026431113,98122.67679
Secondary Road,,Itinerarium Antonini,3.389381956,18039.52407
Secondary Road,,Itinerarium Antonini,4.325923992,37882.92202
Secondary Road,,Itinerarium Antonini,1.800310349,4149.637593
Secondary Road,,,6.786770392,38206.00092
Secondary Road,,,9.086617836,37796.19239
Secondary Road,,,7.295936924,47795.87413
Secondary Road,,,3.016200459,6252.023976
Secondary Road,,,0.676998004,7501.85889
Secondary Road,,,7.369985372,19486.58709
Secondary Road,,,2.627002569,31423.29899
Secondary Road,,,7.416560481,27007.98775
Secondary Road,,,4.383325996,22828.61376
Secondary Road,,,1.758172981,58008.7717
Secondary Road,,,4.402367563,34950.74449
Secondary Road,,,2.475775128,13065.52877
Secondary Road,,,4.92492337,64984.24997
Secondary Road,,Itinerarium Antonini,7.045613309,218177.028
Secondary Road,,Itinerarium Antonini,6.387141987,48816.2956
Secondary Road,,Itinerarium Antonini,3.950697177,103125.069
Secondary Road,,Itinerarium Antonini,1.470216374,11875.28115
Secondary Road,,Itinerarium Antonini,2.035321495,23317.31514
Secondary Road,,Itinerarium Antonini,1.652771334,15456.005
Secondary Road,,Itinerarium Antonini,1.40083864,38191.58715
Secondary Road,,Itinerarium Antonini,1.533134869,11843.98558
Secondary Road,,Itinerarium Antonini,0.755239527,8685.971906
Main Road,,Itinerarium Antonini,5.915344271,136459.1223
