SiteNumber;Catalog#;CulturalComponent;RawMaterialCategory;Weight;ThicknessRetouchedEdge
HEA-234;11;surface;91;600;11,78
HEA-454;127;C3;39;0,2;1,19
HEA-455;370,6;C1;1;0,5;2,25
HEA-455;161,1;C1;6;0,2;0,38
HEA-455;135,6;C1;50;0,2;na
HEA-455;135,7;C1;50;0;0,56
HEA-455;288,2;C1;50;0,4;1,77
HEA-455;288,3;C1;50;0,1;5,11
HEA-455;288,4;C1;50;0;0,37
HEA-455;288,5;C1;50;0;1,73
HEA-455;288,6;C1;50;0;0,98
HEA-455;370,11;C1;50;0;na
HEA-455;370,8;C1;50;0,3;3,52
HEA-455;370,9;C1;50;0;na
HEA-455;135,4;C1;50;0;1,83
HEA-455;135,3;C1;50;0,2;na
HEA-455;288,1;C1;50;0;1,03
HEA-455;135,5;C1;51;1;0,93
HEA-455;165;C1;51;0,2;5,69
HEA-455;321,2;C1;51;0;na
HEA-455;370,7;C1;51;0;na
HEA-455;375,1;C1;51;0;3,02
HEA-455;375,2;C1;51;0;3,4
HEA-455;135,1;C1;51;1,4;0,76
HEA-455;135,2;C1;51;0,5;0,89
HEA-455;321,1;C1;51;0,1;1,58
HEA-455;463;C2;1;2,1;4,03
HEA-455;636;C2;16;0,2;1,58
HEA-455;635;C2;6;0,2;1,05
HEA-455;459;C2;8;0,1;1,71
HEA-455;264;C2;8;0,3;0,61
HEA-455;172;C2;1;0,2;1,37
HEA-455;257;C2;1;0,6;2,1
HEA-455;299;C2;1;3,4;2,51
HEA-455;326;C2;1;1,3;1,88
HEA-455;343;C2;1;2;0,76
HEA-455;353;C2;1;4,8;1,11
HEA-455;361;C2;1;0,2;1,57
HEA-455;369;C2;1;0;0,79
HEA-455;626;C2;1;0,6;1,07
HEA-455;72;C2;6;2,2;na
HEA-455;361;C2;6;0;1,07
HEA-455;462;C2;7;0;0,99
HEA-455;398;C2;7;0,8;2,49
HEA-455;286;C2;8;0,8;5,47
HEA-455;74;C2;8;0,8;1,32
HEA-455;74;C2;8;0,3;0,78
HEA-455;231;C2;8;0,7;1,98
HEA-455;323;C2;8;12,1;5,47
HEA-455;633;C2;8;4,2;4,98
HEA-455;85;C2;8;12;6,62
HEA-455;60;C2;9;24,2;14,1
HEA-455;282;C2;16;0,9;1,08
HEA-455;386;C2;16;5;1,27
HEA-455;634;C2;16;10,9;6,71
HEA-455;91;C2;19;0,1;3,13
HEA-455;1;C2;21;0,6;1,35
HEA-455;379;C2;24;1,2;1,01
HEA-455;294;C2;28;21,4;1,99
HEA-455;367;C2;32;0,1;3,16
HEA-455;214;C2;35;0,3;0,48
HEA-455;437;C2;35;0,9;1,38
HEA-455;373;C2;39;9,2;5,34
HEA-455;327;C2;40;0,7;na
HEA-455;278;C2;44;0,5;0,52
HEA-455;463;C2;44;0,4;1,81
HEA-455;119;C2;48;63,6;9,53
HEA-455;151;C2;50;0,5;1,35
HEA-455;433;C2;50;0,5;8,32
HEA-455;433;C2;50;0,5;4,72
HEA-455;444;C2;50;0,2;1,63
HEA-455;426;C2;50;0,3;1,32
HEA-455;426;C2;51;1,1;0,62
HEA-455;426;C2;51;0,6;1,84
HEA-455;433;C2;51;0,2;2,21
HEA-455;289;C2;57;15,3;8,49
HEA-455;262;C2? C3?;50;1,2;3,15
HEA-455;115;C3;16;2;3,39
HEA-455;54;C3;28;4,7;8,01
HEA-455;198;C3;16;0,3;5,69
HEA-455;142;C3;1;1;0,93
HEA-455;25;C3;6;3,9;1,17
HEA-455;269;C3;6;0,7;2,35
HEA-455;424;C3;6;0;na
HEA-455;57;C3;8;5,4;1,1
HEA-455;68;C3;8;0,9;na
HEA-455;68;C3;8;0,4;1,56
HEA-455;142;C3;8;1,5;2,09
HEA-455;318;C3;8;1,2;1,53
HEA-455;413;C3;8;0,2;1,55
HEA-455;30;C3;16;1,8;0,73
HEA-455;269;C3;26;0,2;2,26
HEA-455;413;C3;35;0,9;1,56
HEA-455;174;C3;44;0,3;1,87
HEA-455;141;C3;44;0,3;1,87
HEA-455;146;C3;51;0;1,32
HEA-455;133;C3;76;1,4;3,32
HEA-455;26;surface;1;0,2;1,06
HEA-455;21;surface;4;4,6;3,56
HEA-455;27;surface;8;5,6;4,23
HEA-455;1;surface;16;3,9;5,24
HEA-455;26;surface;18;3,5;4,7
HEA-455;439;surface;18;3,6;5,62
HEA-455;450;surface;20;3,3;2,16
HEA-455;25;surface;28;5,9;4,51
HEA-455;162;surface;52;46,9;1,13
HEA-460;4;C1;62;27,1;2,02
HEA-460;2;C1;62;8,7;1,12
HEA-460;9;C1;62;138,6;4,36
HEA-460;49;C1;62;7,4;5,68
HEA-460;57;C1;62;6,1;1,33
HEA-460;56;C1;62;3,9;1,82
HEA-460;3;C1;63;0,5;3,56
HEA-499;33;C1;1;0,2;2,21
HEA-499;182;C1;6;3,9;6,93
HEA-499;31;C1;8;1,4;1,29
HEA-499;184;C1;8;1,4;1,4
HEA-499;60;C1;8;0,3;na
HEA-499;9;C1;9;8;6,7
HEA-499;30;C1;9;0,2;0,84
HEA-499;95;C1;16;2;1,55
HEA-499;85;C1;16;0,6;3,66
HEA-499;39;C1;21;0,3;na
HEA-499;15;C1;66;4,3;8,68
HEA-499;62;C1;68;6,6;5,09
HEA-499;11;C1;69;40,1;12,08
HEA-499;185;C1;76;1,2;4,11
HEA-499;2;C2;63;3,9;8,19
HEA-499;57;surface;6;12,5;5,91
HEA-499;84;surface;8;4,3;5,08
HEA-499;57;surface;82;28,8;5,62
HEA-500;3;C1;27;0,3;0,65
HEA-505;21;surface;16;21,9;2,32
HEA-505;18;surface;62;3,3;0,96
HEA-505;3;surface;62;8,3;6,22
HEA-505;1;surface;62;105,9;7,45
HEA-506;33;C1;53;0,3;0,88
HEA-507;4;rodent;28;0,1;2,11
HEA-507;3;surface;53;111,5;24,41
HEA-508;21;C3;3;0,4;0,73
HEA-508;2;C3;24;5,8;2,97
HEA-508;8;C3;24;5,2;2,21
HEA-508;4;C3;26;18,3;9,76
HEA-508;12;C3;92;0,2;1,59
HEA-508;12;C3;92;0,1;0,96
HEA-508;12;C3;92;0;0,32
HEA-508;20;C3;92;0,9;1,55
