Name,Type,Segment_s,Avg_Slope,Shape_Leng
Atuatuca-Traiectus,Main Road,Certain,1.302823714,2105.163498
Bagacum-Atuatuca,Main Road,Certain,0.949235407,1520.688945
Bagacum-Atuatuca,Main Road,Certain,0.983702334,15892.20465
Bagacum-Atuatuca,Main Road,Certain,1.068173863,41974.67384
Bagacum-Atuatuca,Main Road,Certain,0.251893212,353.2847165
Bagacum-Atuatuca,Main Road,Certain,1.292714036,2089.868049
Basbellain-Charleville Mézières,Main Road,Conjectured,6.917574832,288.1817223
Basbellain-Charleville Mézières,Main Road,Conjectured,4.375676596,4316.821816
Basbellain-Charleville Mézières,Main Road,Conjectured,0.869102211,124.7676504
Basbellain-Charleville Mézières,Main Road,Conjectured,6.047420919,5917.143038
Basbellain-Charleville Mézières,Main Road,Conjectured,3.75425254,1066.54958
Basbellain-Charleville Mézières,Main Road,Conjectured,3.741330817,3962.531202
Basbellain-Charleville Mézières,Main Road,Conjectured,4.943512973,3822.847754
Basbellain-Charleville Mézières,Main Road,Conjectured,4.110419603,4038.497824
Basbellain-Charleville Mézières,Main Road,Conjectured,5.785806627,3335.465229
Basbellain-Charleville Mézières,Main Road,Conjectured,2.184258048,30566.14406
Basbellain-Charleville Mézières,Main Road,Conjectured,2.513401735,17029.07474
Basbellain-Charleville Mézières,Main Road,Certain,2.607285082,4490.390499
Basbellain-Charleville Mézières,Main Road,Certain,2.672381077,931.37636
Basbellain-Charleville Mézières,Main Road,Certain,1.776515469,1134.096735
Castellum Menapiorum-Viroviacum,Main Road,Conjectured,1.041415984,32215.39745
Cortoriacum-Kerkhove,Main Road,Conjectured,1.197695276,18126.94839
Cortoriacum-Turnacum,Main Road,Conjectured,1.218479043,15946.8239
Dilsen-Heel,Main Road,Conjectured,1.019678141,4022.040926
Dilsen-Heel,Main Road,Conjectured,0.621249278,5095.321789
Dilsen-Heel,Main Road,Hypothetical,1.01091606,2979.774105
Durocortorum-Orolaunum,Main Road,Conjectured,1.405771519,7193.441022
Durocortorum-Orolaunum,Main Road,Conjectured,4.341888042,10414.86119
Durocortorum-Orolaunum,Main Road,Conjectured,1.817777044,11082.08597
Durocortorum-Orolaunum,Main Road,Certain,1.516495525,8530.774474
Kerkhove-Kester,Main Road,Conjectured,1.907686912,26961.68439
Kerkhove-Kester,Main Road,Conjectured,2.182496592,6462.321826
Kerkhove-Kester,Main Road,Conjectured,2.022035787,10376.40992
Kester-Asse,Main Road,Conjectured,1.930459459,17300.66113
Kester-Tienen,Main Road,Conjectured,2.020693638,25893.43692
Kester-Tienen,Main Road,Conjectured,2.026067556,32054.83894
Maastricht-Dilsen,Main Road,Conjectured,0.894156653,12242.85765
Maastricht-Dilsen,Main Road,Hypothetical,0.980805809,5848.260095
Tienen-Atuatuca,Main Road,Conjectured,1.189773611,37592.86226
Tolbiacum-Basbellain,Main Road,Conjectured,3.208779421,5762.153007
Tolbiacum-Basbellain,Main Road,Conjectured,1.720614991,3669.63097
Tolbiacum-Basbellain,Main Road,Conjectured,3.060839368,7348.413656
Tolbiacum-Basbellain,Main Road,Conjectured,2.758701541,14469.84292
Tolbiacum-Basbellain,Main Road,Conjectured,3.595034684,4562.491
Tolbiacum-Basbellain,Main Road,Conjectured,3.565754986,6725.462264
Tolbiacum-Basbellain,Main Road,Conjectured,2.194166286,2998.22543
Tolbiacum-Basbellain,Main Road,Conjectured,3.178562058,7381.202458
Tolbiacum-Basbellain,Main Road,Conjectured,1.793514096,261.8832771
Tolbiacum-Basbellain,Main Road,Conjectured,3.584224266,4466.677366
Tolbiacum-Basbellain,Main Road,Conjectured,3.052636458,7723.263596
Tolbiacum-Basbellain,Main Road,Conjectured,3.177799349,7652.820884
Tolbiacum-Basbellain,Main Road,Conjectured,2.62811567,3171.936324
Tolbiacum-Basbellain,Main Road,Conjectured,2.54710035,5143.890519
Tongeren-Maastricht,Main Road,Certain,1.265922087,1314.883423
Viroviacum-Cortoriacum,Main Road,Conjectured,0.975065005,15575.04537
Viroviacum-Turnacum,Main Road,Conjectured,1.24418315,12221.07414
Aardenburg-Kerkhove,Secondary Road,Conjectured,1.437074748,10163.59777
Aardenburg-Kerkhove,Secondary Road,Conjectured,0.997842229,3288.686647
Aardenburg-Kerkhove,Secondary Road,Conjectured,0.898162446,14609.4216
Aardenburg-Kerkhove,Secondary Road,Conjectured,0.942878577,17176.15687
Aardenburg-Kerkhove,Secondary Road,Conjectured,0.781247244,2550.774022
Aardenburg-Kerkhove,Secondary Road,Conjectured,1.692603686,4355.763669
Aardenburg-Kruishouten,Secondary Road,Conjectured,0.977473043,10638.98036
Aardenburg-Kruishouten,Secondary Road,Conjectured,1.099375787,16504.25472
Amanium-Vervigium,Secondary Road,Certain,2.770911686,12572.60975
Amanium-Vervigium,Secondary Road,Certain,2.946889834,983.5306351
Amanium-Vervigium,Secondary Road,Conjectured,2.239990603,5027.29414
Andenne-Ciney,Secondary Road,Certain,3.847240821,7793.101509
Asse-Condacum,Secondary Road,Conjectured,1.363116508,23892.91427
Asse-Condacum,Secondary Road,Conjectured,0.858993704,6729.015309
Asse-Elewijt,Secondary Road,Conjectured,1.336516413,21620.27866
Atuatuca-Amanium,Secondary Road,Conjectured,1.4962658,26505.39499
Atuatuca-Rossum,Secondary Road,Hypothetical,1.320116877,45345.29518
Atuatuca-Theux,Secondary Road,Certain,1.248093576,12029.03704
Atuatuca-Theux,Secondary Road,Conjectured,4.92082326,25400.39573
Baalon-Buzenol,Secondary Road,Conjectured,3.183385975,7165.853401
Bagacum-Bücquy,Secondary Road,Certain,1.241087396,15932.69833
Bagacum-Ciney,Secondary Road,Conjectured,3.496939444,9945.646878
Bagacum-Ciney,Secondary Road,Certain,2.569080992,942.6364554
Bagacum-Ciney,Secondary Road,Certain,2.24768516,2393.541855
Bagacum-Ciney,Secondary Road,Certain,0.966375177,2363.640889
Bagacum-Furfooz,Secondary Road,Conjectured,2.090411194,28233.23261
Bagacum-Furfooz,Secondary Road,Conjectured,2.256975105,1349.784779
Bagacum-Furfooz,Secondary Road,Conjectured,4.730407758,6000.6777
Bagacum-Furfooz,Secondary Road,Conjectured,1.113338538,4695.695577
Bagacum-Furfooz,Secondary Road,Conjectured,1.269185978,4599.669654
Bagacum-Huy,Secondary Road,Conjectured,7.19324598,5310.235788
Bagacum-Huy,Secondary Road,Conjectured,2.349136807,8874.152783
Bagacum-Vervigium,Secondary Road,Certain,1.911751953,18241.08071
Bagacum-Vervigium,Secondary Road,Certain,2.485837828,7017.854717
Bagacum-Vervigium,Secondary Road,Certain,1.951449226,3731.096124
Basbellain-Florenville Chameleux,Secondary Road,Conjectured,3.482034012,26628.60719
Brugge-Aardenburg,Secondary Road,Conjectured,0.792633364,2516.695319
Brugge-Anvers,Secondary Road,Conjectured,0.851782907,23595.22563
Brugge-Anvers,Secondary Road,Conjectured,1.126255184,14530.10229
Brugge-Anvers,Secondary Road,Conjectured,0.86068094,7330.285286
Brugge-Anvers,Secondary Road,Conjectured,1.141805029,12977.52285
Brugge-Anvers,Secondary Road,Conjectured,1.063417849,28175.98718
Brugge-Kerkhove,Secondary Road,Conjectured,1.541669524,10755.30895
Brugge-Kerkhove,Secondary Road,Conjectured,0.138548298,24.84417266
Brugge-Kerkhove,Secondary Road,Conjectured,1.054072604,17795.75143
Brugge-Kerkhove,Secondary Road,Conjectured,1.11236279,21707.26006
Castellum Menapiorum-Brugge,Secondary Road,Conjectured,1.422602699,14299.22134
Castellum Menapiorum-Brugge,Secondary Road,Conjectured,0.433434024,470.8907965
Castellum Menapiorum-Oudenburg,Secondary Road,Conjectured,0.737922289,55514.43548
Castellum Menapiorum-Oudenburg,Secondary Road,Conjectured,0.903336663,34453.09287
Castellum Menapiorum-Oudenburg,Secondary Road,Conjectured,0.877076027,12606.06457
Castellum Menapiorum-Oudenburg,Secondary Road,Conjectured,1.139170699,7355.639826
Castellum Menapiorum-Oudenburg,Secondary Road,Conjectured,0.973414724,3843.548387
Castellum Menapiorum-Waasmünster,Secondary Road,Conjectured,0.920786214,25321.23105
Castellum Menapiorum-Waasmünster,Secondary Road,Conjectured,0.85747325,9107.933312
Castellum Menapiorum-Waasmünster,Secondary Road,Conjectured,0.965283733,13014.23248
Castellum Menapiorum-Waasmünster,Secondary Road,Conjectured,0.921629729,9326.38568
Castellum Menapiorum-Waasmünster,Secondary Road,Conjectured,1.222095739,13117.62155
Castellum Menapiorum-Waasmünster,Secondary Road,Conjectured,0.989987231,12149.09066
Ciney-Furfooz,Secondary Road,Certain,2.639508422,3682.45777
Ciney-Furfooz,Secondary Road,Certain,3.855850656,3220.904404
Ciney-northeast,Secondary Road,Certain,2.80214803,1874.001267
Ciney-south,Secondary Road,Certain,2.852718432,5388.690834
Ciney-south,Secondary Road,Certain,2.676373695,628.3953475
Ciney-south,Secondary Road,Certain,2.942772988,12332.0893
Ciney-Vervigium,Secondary Road,Certain,2.432488353,10716.57799
Ciney-Vervigium,Secondary Road,Conjectured,2.068535192,1454.039347
Ciney-Vervigium,Secondary Road,Conjectured,1.277766848,2771.450277
Ciney-Vervigium,Secondary Road,Certain,2.590162489,17684.9591
Ciney-Vervigium,Secondary Road,Conjectured,0.909978027,197.0469665
Ciney-Vervigium,Secondary Road,Conjectured,2.273006329,10828.0428
Ciney-Vervigium,Secondary Road,Certain,2.273478256,7940.593617
Ciney-Vervigium,Secondary Road,Certain,1.101060462,2422.496322
Ciney-Vervigium,Secondary Road,Certain,1.508478772,3252.554864
Ciney-west,Secondary Road,Conjectured,3.673504897,6564.60411
Condacum-Elewijt,Secondary Road,Conjectured,0.863971452,17060.01757
Cortoriacum-Destelbergen Gand,Secondary Road,Conjectured,1.109688867,18011.04601
Cortoriacum-Destelbergen Gand,Secondary Road,Conjectured,0.891348377,14040.47885
Cortoriacum-Destelbergen Gand,Secondary Road,Conjectured,0.96631454,8812.418558
Cortoriacum-Destelbergen Gand,Secondary Road,Conjectured,0.768582009,2070.306006
Cortoriacum-Oudenburg,Secondary Road,Conjectured,1.163522331,29500.026
Cortoriacum-Oudenburg,Secondary Road,Conjectured,0.957971267,7530.354004
Dilsen-Tüddern,Secondary Road,Conjectured,0.778726298,2270.169401
Elewijt-Grobbendonk,Secondary Road,Conjectured,0.980010642,22652.36182
Elewijt-Grobbendonk,Secondary Road,Conjectured,1.091134061,8284.705974
Elewijt-Sauvenière,Secondary Road,Conjectured,2.100844033,24024.83343
Elewijt-Sauvenière,Secondary Road,Conjectured,1.813212294,20481.10923
Elewijt-Tienen,Secondary Road,Conjectured,1.461254209,35764.86161
Feresne-north,Secondary Road,Conjectured,0.65718609,754.8799987
Flobecq-Kruishouten,Secondary Road,Conjectured,2.379608792,7907.485668
Flobecq-Kruishouten,Secondary Road,Conjectured,1.792034661,1422.108012
Flobecq-Kruishouten,Secondary Road,Conjectured,1.543438733,4900.386148
Flobecq-Kruishouten,Secondary Road,Conjectured,1.418266732,8459.119309
Flobecq-Kruishouten,Secondary Road,Conjectured,2.613429308,3906.533745
Furfooz-Tintange,Secondary Road,Conjectured,3.157505568,4095.354228
Furfooz-Tintange,Secondary Road,Conjectured,2.93770759,5770.131022
Furfooz-Tintange,Secondary Road,Conjectured,2.771658398,7273.960522
Furfooz-Tintange,Secondary Road,Conjectured,2.058701894,2375.17128
Furfooz-Tintange,Secondary Road,Conjectured,2.576964002,2461.580482
Furfooz-Tintange,Secondary Road,Conjectured,2.383852445,1540.979816
